,backhand_cross_court,backhand_down_the_line,backhand_middle,forehand_cross_court,forehand_down_the_line,forehand_middle,net_cross_court,net_down_the_line,net_middle,return,slice_cross_court,slice_down_the_line,slice_middle
backhand_cross_court,0.2590135822357635,0.10192277534627675,0.13988745623807303,0.10604693600320972,0.06066080255148073,0.03452278878798556,0.0052850355085141,0.014787916311106314,0.007659737397888837,0.0,0.061224946996898226,0.019718579496506173,0.038162233278819735
backhand_down_the_line,0.045945974791081895,0.018821306978878728,0.027049958910103845,0.18013383566176078,0.0708133664898556,0.09165181382541597,0.0313403844306648,0.008260670032124828,0.016820175672646938,0.0,0.03309070727984888,0.021046564991408476,0.056490602687385934
backhand_middle,0.06400310748571111,0.018318905721103156,0.22138754786082904,0.042284001997669386,0.017088396870317962,0.3574954220076577,0.0018561678042284002,0.0020698074468675433,0.02896898063370512,0.0,0.021487431330114867,0.008416569557738195,0.054261694689528885
forehand_cross_court,0.09710179141490514,0.05120090517177209,0.06561644622246043,0.19448432219521172,0.166627320619243,0.12156227203219146,0.002707433425424353,0.0111530093345839,0.007307730753934074,0.0,0.024979423080604104,0.022082703264871214,0.03666626257212557
forehand_down_the_line,0.17269968891412565,0.03865407459790496,0.09442309769071863,0.09039605098603423,0.025496500719364313,0.04508132474508725,0.020309413744212863,0.006078889705600591,0.019661463322870908,0.0,0.06266307623171544,0.013941384872099463,0.05954873388397507
forehand_middle,0.08312906777759076,0.02542448661841441,0.17785393171744376,0.09317490040958312,0.03807843095999551,0.25799002693149303,0.0030464498120406215,0.0026659723391123827,0.01895899960724906,0.0,0.026145114458845313,0.012299767154799978,0.0519597219884419
net_cross_court,0.034578146611341634,0.0534716459197787,0.02367911479944675,0.026141078838174275,0.04896265560165975,0.022876901798063624,0.012503457814661134,0.026307053941908715,0.02395573997233748,0.0,0.02091286307053942,0.03020746887966805,0.020387275242047025
net_down_the_line,0.03353372676631185,0.025867299100987267,0.013567922342948544,0.054216535215928535,0.051293364955049374,0.026473994815509355,0.032871876895924114,0.018862721306050413,0.044923059952567436,0.0,0.01842148805912526,0.012189068446307433,0.014836467927858367
net_middle,0.023519906240011365,0.02408814859537593,0.06248890151649679,0.0268494512909756,0.03159960223035124,0.08835280747238697,0.013105089320595235,0.010494726000639273,0.05788081116596228,0.0,0.009766665482828426,0.009225059487871577,0.03222999609333381
return,0.06910783710023231,0.02988877074308371,0.16067700585194686,0.06534356256842536,0.053899902785248234,0.32454809229517156,0.0037593019102325786,0.004581442010530356,0.019261449668367583,0.0013301762711471095,0.013246235103890499,0.007798728169155327,0.023382095413005233
slice_cross_court,0.14809615599508325,0.07056654374790479,0.03258743993742318,0.1985068164040675,0.14549111632584646,0.024094870935300033,0.016468320482735502,0.04149905017320371,0.012445524639624539,0.0,0.07560202257235445,0.04206475583864119,0.026734830707341603
slice_down_the_line,0.10172587645588858,0.04071373248184249,0.02003536512297418,0.19138084730158267,0.11813704715836852,0.031784769615221614,0.0747490099226936,0.0243610165280802,0.02984114922035979,0.0,0.027576027707550892,0.02588083999473907,0.014847506174282833
slice_middle,0.029147616719862744,0.013471547287000028,0.10843373493975904,0.02989044483422952,0.017899761336515514,0.39639704402334874,0.002913803184096769,0.003297198339898975,0.09308834382877572,0.0,0.016174483135405582,0.009800538670193901,0.05815625269574719
