variable,segment,n_shots,cross_court,down_the_line,middle,dtl_minus_cc
Surface,Hard,50000,0.019944899,0.026602149,0.027700208,0.00665725
Surface,Clay,50000,0.016954966,0.021685913,0.024221927,0.0047309473
Surface,Grass,50000,0.04148619,0.053562343,0.049591303,0.012076154
gender,M,50000,0.025710069,0.02877897,0.031558476,0.0030689016
gender,W,50000,0.014507182,0.02723445,0.02535072,0.012727268
rally_phase,short (1-4),50000,0.049969554,0.07196607,0.061475232,0.021996513
rally_phase,medium (5-8),50000,0.04005348,0.050611883,0.047470286,0.010558404
rally_phase,long (9+),50000,0.000121064484,-0.0007799715,0.0065357685,-0.00090103596
pressure_context,regular,50000,0.020402916,0.026913956,0.028128892,0.00651104
pressure_context,game_point,50000,0.027492553,0.0378955,0.036975242,0.010402948
pressure_context,break_point,50000,0.01764264,0.021078467,0.023572236,0.0034358278
pressure_context,deuce,50000,0.020883054,0.027055144,0.027208611,0.006172091
pressure_context,tiebreak,50000,0.025669724,0.030698434,0.02967012,0.00502871
